Effect ID,A_SPADE_EXILE_COUNTER,EIGHT_SPADE_FREE_SCUTTLE,KING_SPADE_INSTANT_MULTI_COUNTER,FOUR_SPADE_TOTAL_CLEAR,TWO_SPADE_SOLO_WILD_TOTAL_CLEAR,A_BASE_COUNTER,BLACK_JOKER_BOARD_LOCK,EIGHT_QUICK_AEGIS_FIELD,TEN_HEART_TEMPO_SPIKE,KING_SPADE_WILD_TOTAL_CLEAR,QUEEN_ER_GUARD_ANCHOR,ULTRA_2B2R_DRAW,JACK_INSTANT_DISRUPT,ULTRA_THREE_RED_COUNTER,TEN_CLUB_FOUNDATION,QUEEN_COURT,SEVEN_SCORING_TRIGGER,SIX_SPADE_DEEP_DRAW,TEN_DIAMOND_SOLO_MIMIC_ROW_EXCHANGE_PR,A_SUPER_COUNTER,QUEEN_QUICK_AEGIS,ROYAL_MARRIAGE,TWO_QUICK_SCORE_DISCARD,FOUR_BASE_ROW_CLEAR_PR,JACK_SPADE_ER_ATTACHMENT,NINE_INSTANT_TAP,TEN_DIAMOND_PAIRED_MIMIC_SUPER_ACE,FOUR_SUPER_ROW_EXCHANGE_PR,KING_INSTANT_ANCHOR_COUNTER,TWO_SPADE_SOLO_WILD_DEEP_DRAW,FOUR_BASE_ROW_CLEAR_ER,TEN_SPADE_STACK_THEFT,A_ANCHOR_ENTRY,QUEEN_SPADE_CLEAR_IMMUNITY,BLACK_JOKER_EXILE_RECYCLE,EIGHT_INSTANT_SCUTTLE_COUNTER,RED_JOKER_HAND_SWAP,TWO_SUPER_COMMANDEER_HOLD,KING_SPADE_ANCHOR,RED_JOKER_SELF_RESET,TWO_SOLO_WILD_ROW_CLEAR,ULTRA_2B2R_RUMMAGE_EXILE,EIGHT_SCUTTLE_BONUS,JACK_PR_ATTACHMENT,RED_JOKER_OPPONENT_ATTACK,TEN_DIAMOND_SOLO_MIMIC_ROW_EXCHANGE_ER,ULTRA_THREE_BLACK,FOUR_SUPER_ROW_EXCHANGE_ER,NINE_SPADE_GOAL_SHIFT,ROYAL_SHIELD_PROTECTION,JACK_SUPER_TEMPO_FORCE,THREE_INSTANT_BOUNCE,KING_BASE_ANCHOR,SEVEN_RECURSIVE_TOPDECK,TEN_DIAMOND_PAIRED_MIMIC_ROW_EXCHANGE,EIGHT_SUPER_ABSOLUTE_SCUTTLE,SIX_BASE_DIG_RETURN,FOUR_QUICK_NATURAL,TEN_DIAMOND_PAIRED_MIMIC_ABSOLUTE_SCUTTLE,VOLTAGE_FIVE_REFINEMENT,SIX_BASE_DIG_DISCARD,TWO_SUPER_COMMANDEER_SCORE,SEVEN_SPADE_TOPDECK,THREE_SPADE_ENHANCEMENT,VOLTAGE_THREE_SLEIGHT,FIVE_SPADE_EXILE_RUMMAGE,KING_SPADE_WILD_DEEP_DRAW,RED_JOKER_SHUFFLE_RESET,TEN_DIAMOND_PAIRED_MIMIC_SUPER_J_TEMPO,FIVE_BASE_RECYCLE,NINE_ANCHOR,KING_SPADE_WILD_ROW_CLEAR,TWO_SOLO_WILD_RECYCLE,SEVEN_BASE_TOPDECK,SIX_QUICK_SWAP_BAR_PEEK,FIVE_SUPER_RECYCLE,TEN_SPADE_EXILE_RECOVERY,TWO_SOLO_WILD_TOPDECK,THREE_BASE_HAND_RAID,A_PURGE_SCRAP_AEGIS,NINE_INSTANT_GOAL_SHIFT_FIVE,THREE_SUPER_RAID,FIVE_CLUB_EXILE_RUMMAGE,FIVE_HEART_EXILE_RUMMAGE,TWO_SOLO_WILD_BOUNCE,TEN_DIAMOND_PAIRED_MIMIC_SUPER_FIVE,THREE_BASE_BOUNCE,A_PURGE_BOUNCE_ANCHOR,NINE_INSTANT_GOAL_SHIFT_THREE,THREE_BASE_FORCE_DISCARD,TEN_DIAMOND_PAIRED_MIMIC_SUPER_THREE,FIVE_DIAMOND_EXILE_RUMMAGE,VOLTAGE_FOUR_PREDICTABLE,KING_SPADE_WILD_TOPDECK,TEN_DIAMOND_PAIRED_MIMIC_SUPER_SIX,KING_SPADE_WILD_RECYCLE,TEN_DIAMOND_PAIRED_MIMIC_SUPER_SEVEN,SUDDEN_DEATH_ACTIVATION,KING_SPADE_WILD_BOUNCE,SIX_SUPER_DIG,SEVEN_SUPER_TOPDECK
EIGHT_SCUTTLE_BONUS,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++
JACK_PR_ATTACHMENT,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,≈,↔,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++
RED_JOKER_OPPONENT_ATTACK,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,≈,↔,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++
TEN_DIAMOND_SOLO_MIMIC_ROW_EXCHANGE_ER,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,≈,↔,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++
ULTRA_THREE_BLACK,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,≈,↔,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++
FOUR_SUPER_ROW_EXCHANGE_ER,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,↔,≈,≈,↔,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++
NINE_SPADE_GOAL_SHIFT,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,↔,↔,↔,↔,↔,≈,≈,↔,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++
ROYAL_SHIELD_PROTECTION,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++
JACK_SUPER_TEMPO_FORCE,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,↔,≈,≈,↔,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++,++
THREE_INSTANT_BOUNCE,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↔,≈,≈,↔,≈,↔,↔,↔,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++,++
KING_BASE_ANCHOR,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,↔,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++
SEVEN_RECURSIVE_TOPDECK,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,↔,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++
TEN_DIAMOND_PAIRED_MIMIC_ROW_EXCHANGE,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,↔,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++,++
EIGHT_SUPER_ABSOLUTE_SCUTTLE,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++
SIX_BASE_DIG_RETURN,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++,++
FOUR_QUICK_NATURAL,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++
TEN_DIAMOND_PAIRED_MIMIC_ABSOLUTE_SCUTTLE,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++
VOLTAGE_FIVE_REFINEMENT,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++,++
SIX_BASE_DIG_DISCARD,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++
TWO_SUPER_COMMANDEER_SCORE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++,++
SEVEN_SPADE_TOPDECK,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++
THREE_SPADE_ENHANCEMENT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++
VOLTAGE_THREE_SLEIGHT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++,++
FIVE_SPADE_EXILE_RUMMAGE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++
KING_SPADE_WILD_DEEP_DRAW,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++
RED_JOKER_SHUFFLE_RESET,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++
TEN_DIAMOND_PAIRED_MIMIC_SUPER_J_TEMPO,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++,++,++
FIVE_BASE_RECYCLE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++
NINE_ANCHOR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++,++
KING_SPADE_WILD_ROW_CLEAR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++
TWO_SOLO_WILD_RECYCLE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++,++
SEVEN_BASE_TOPDECK,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++
SIX_QUICK_SWAP_BAR_PEEK,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++
FIVE_SUPER_RECYCLE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++
TEN_SPADE_EXILE_RECOVERY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++,++
TWO_SOLO_WILD_TOPDECK,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++,++
THREE_BASE_HAND_RAID,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,↔,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++
A_PURGE_SCRAP_AEGIS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,↔,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++
NINE_INSTANT_GOAL_SHIFT_FIVE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↔,↔,≈,↔,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++
THREE_SUPER_RAID,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,↔,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++
FIVE_CLUB_EXILE_RUMMAGE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,+,+,++,++
FIVE_HEART_EXILE_RUMMAGE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,++,++
TWO_SOLO_WILD_BOUNCE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,+,++,++
TEN_DIAMOND_PAIRED_MIMIC_SUPER_FIVE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,++,++
THREE_BASE_BOUNCE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,≈,+,+,+,+,+,+,+,+,+,+,+,++,++
A_PURGE_BOUNCE_ANCHOR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,↔,+,+,+,+,+,+,+,+,+,+,++,++
NINE_INSTANT_GOAL_SHIFT_THREE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↔,≈,↔,+,+,+,+,+,+,+,+,+,++,++
THREE_BASE_FORCE_DISCARD,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↔,≈,≈,+,+,+,+,+,+,+,+,++,++
TEN_DIAMOND_PAIRED_MIMIC_SUPER_THREE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,+,+,+,+,+,+,+,++,++
FIVE_DIAMOND_EXILE_RUMMAGE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,+,+,+,+,+,+,++,++
VOLTAGE_FOUR_PREDICTABLE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,≈,≈,≈,≈,+,+,+,+,++,++
